energy,cross_section
1e-05,116.899938
1.103037e-05,111.319667
1.216691e-05,106.007095
1.342055e-05,100.949444
1.480336e-05,96.1345533
1.632865e-05,91.5508429
1.801111e-05,87.18729
1.986691e-05,83.0334009
2.191394e-05,79.079186
2.417189e-05,75.315136
2.666248e-05,71.7321986
2.940971e-05,68.3217571
3.243999e-05,65.0756095
3.578251e-05,61.9859488
3.946943e-05,59.0453442
4.353624e-05,56.2467233
4.802208e-05,53.5833547
5.297013e-05,51.0488324
5.842801e-05,48.6370599
6.444825e-05,46.3422355
7.108881e-05,44.1588386
7.841358e-05,42.0816164
8.649308e-05,40.1055708
9.540506e-05,38.2259465
0.0001057638,36.349281
0.0001166614,34.6535118
0.0001286819,33.0410399
0.0001419408,31.5079819
0.000156566,30.0506445
0.0001726981,28.6655154
0.0001904924,27.3492549
0.0002101201,26.0986874
0.0002334057,24.8279523
0.0002592579,23.6262699
0.0002879888,22.489085
0.0003198869,21.4143791
0.0003553366,20.3980853
0.0003946943,19.4383758
0.000438434,18.5316185
0.0004869959,17.676159
0.0005409642,16.8687522
0.0006008827,16.1078995
0.0006674717,15.3906996
0.0007414026,14.7157919
0.0008235638,14.0805794
0.0009147839,13.4838216
0.0010212623,12.8973453
0.0011343802,12.3733144
0.0012689164,11.8506107
0.0014194084,11.3636784
0.0015877485,10.9107585
0.0017760536,10.4901673
0.0019866915,10.1002882
0.0022379876,9.71787514
0.0025209453,9.3667219
0.002839819,9.0447863
0.0032214345,8.73409423
0.0036543315,8.45243393
0.0041744381,8.18453674
0.0047688046,7.94451863
0.0054859578,7.71974277
0.0063551654,7.51180316
0.0074140259,7.32173834
0.0087103211,7.15013815
0.0103771278,6.99126781
0.0125379292,6.84745619
0.0153616338,6.72014255
0.0192214488,6.60647852
0.0247345161,6.50560576
0.0251917383,6.49922211
0.0253,6.49774436
0.0339539812,6.41010148
0.0475240856,6.336938
0.0713441399,6.27581744
0.1189722593,6.2269996
0.2363611715,6.19068062
0.6759245389,6.16673982
7.063287285,6.15503924
54384.57898,5.63888519
105028.1431,5.22558818
155350.4985,4.86879572
205683.0883,4.55741519
257103.8603,4.28006541
306318.2928,4.04804116
354852.091,3.84921482
415784.362,3.63969797
456348.69,3.52667419
486771.936,3.45970177
513597.5915,3.41723586
530000.0,3.40416228
543809.2145,3.41075381
550000.0,3.41867899
560000.0,3.44941591
570000.0,3.51220989
580000.0,3.63816878
590000.0,3.90477889
605000.0,5.11574438
610000.0,6.00699048
615000.0,7.09725054
616000.0,7.2935585
617000.0,7.46515613
618000.0,7.60414562
619000.0,7.70352462
620000.0,7.75818575
621000.0,7.76561
622000.0005,7.72619611
623000.0,7.64315915
624000.0,7.52201861
625000.0,7.36937745
630000.0,6.39903274
635000.0,5.51254088
640000.0,4.88181926
645000.0,4.45849556
650000.0,4.17245392
655000.0,3.97399911
660000.0,3.83209851
665000.0,3.72770977
670000.0,3.64887003
675000.0,3.58818832
682500.0005,3.52158144
689832.059,3.47587882
694664.117,3.44912468
710000.0,3.39653941
725000.0,3.36857008
750000.0005,3.351855
755000.0,3.35125428
770000.0,3.35878324
782500.0005,3.38354003
787500.0005,3.40664004
790000.0,3.42161173
795000.0,3.48223512
800000.0,3.63264699
801000.0,3.68787034
802000.0,3.75922216
803000.0,3.85209746
804000.0,3.97457562
805000.0,4.13763567
806000.0,4.3549818
807000.0,4.63990185
808000.0,4.99422199
809000.0,5.38354666
810000.0,5.70986137
810750.0008,5.81229353
811000.0,5.83752681
811750.0011,5.74442807
812000.0005,5.70612482
813000.0,5.39476554
814000.0,5.03366303
815000.0,4.70682286
816000.0,4.441696
817000.0,4.23613372
818000.0,4.07887648
819000.0,3.95833048
820000.0,3.86572038
825000.0,3.61940653
830000.0,3.52424786
835000.0,3.47941582
842500.0005,3.44849798
858460.715,3.4266566
919135.6391,3.4115404
950000.0,3.39903438
1000000.0,3.34013272
1050000.0,3.2424522
1107759.515,3.09334279
1251509.438,2.68061905
1300000.0,2.54399043
1400000.0,2.29858449
1500000.0,2.09403745
1600000.0,1.9261257
1748830.0,1.7378156
1800000.0,1.68932664
1900000.0,1.62101774
2000000.0,1.59803383
2100000.0,1.63593671
2200000.0,1.7467649
2300000.0,1.91128653
2400000.0,2.10775307
2500000.0,2.40110094
2600000.0,2.74299907
2650000.0,3.15793858
2700000.0,3.95038794
2710000.0,4.05238428
2720000.0,4.09873397
2730000.005,4.08854686
2740000.0,4.03378197
2750000.0,3.95202844
2770000.0,3.76657827
2800000.0,3.53176339
2900000.0,3.07420608
3000000.0,2.73435368
3100000.0,2.42095918
3200000.0,2.19119561
3300000.0,2.01478631
3400000.0,1.88299334
3500000.0,1.77533854
3600000.0,1.69359785
3726100.175,1.60487516
3900000.0,1.48974501
4000000.0,1.41510568
4100000.0,1.29671139
4200000.0,1.26943406
4300000.0,1.352722
4400000.0,1.36381684
4531743.455,1.34725308
4833859.685,1.29941961
5135975.915,1.26150766
5400000.0,1.23497157
5500000.0,1.22000702
5983238.38,1.19445064
6545851.655,1.15770649
7100000.0,1.130002
7500000.0,1.12000534
8112865.6,1.14564328
8400000.0,1.15999317
9100000.0,1.13999985
9500000.0,1.14999084
10000000.0,1.13999805
10141082.0,1.13428533
10284154.41,1.12849004
10429245.32,1.12261299
10576383.2,1.11665302
10725596.93,1.11060897
10876915.8,1.10447965
11030369.5,1.09826385
11185988.16,1.09196036
11343802.32,1.08556794
11503842.95,1.07908534
11666141.46,1.07251127
11830729.72,1.06584446
11997640.02,1.05908359
12000000.0,1.058988
12169298.4,1.05471506
12340985.3,1.05038184
12515094.38,1.04598749
12691659.84,1.04153113
12870716.31,1.03701191
13052298.95,1.03242893
13100000.0,1.031225
13284817.42,1.02701958
13472242.28,1.02275483
13662311.37,1.01842992
13855061.99,1.01404398
14000000.0,1.010746
14197514.8,1.00162065
14397816.18,0.992366561
14600943.45,0.982981912
14806936.48,0.973464862
15015835.7,0.963813544
15200000.0,0.955305
15414444.64,0.944868606
15631914.71,0.934284974
15852452.89,0.923552025
16076102.46,0.912667654
16302907.33,0.901629724
16500000.0,0.8920378
16732785.3,0.894830215
16968854.78,0.897662026
17100000.0,0.8992352
17341250.22,0.904305218
17350000.0,0.9044891
17594777.27,0.911923328
17843007.91,0.91946244
17850000.0,0.9196748
18000000.0,0.9229976
18253947.6,0.919385991
18511477.94,0.915723429
18772641.58,0.912009195
19037489.76,0.908242559
19306074.47,0.904422783
19500000.0,0.9016648
19775109.9,0.898316823
20000000.0,0.89558
