energy,cross_section
1e-05,0.503984425
1.103037e-05,0.479868215
1.216691e-05,0.456905981
1.342055e-05,0.435042505
1.480336e-05,0.414225209
1.632865e-05,0.394404033
1.801111e-05,0.37553131
1.986691e-05,0.357561657
2.191394e-05,0.340451861
2.417189e-05,0.324160775
2.666248e-05,0.308649224
2.940971e-05,0.293879906
3.243999e-05,0.279817304
3.578251e-05,0.266427601
3.946943e-05,0.253678596
4.353624e-05,0.241539633
4.802208e-05,0.229981519
5.297013e-05,0.218976459
5.842801e-05,0.20849799
6.444825e-05,0.198520912
7.108881e-05,0.189021234
7.841358e-05,0.179976109
8.649308e-05,0.171363788
9.540506e-05,0.16316356
0.0001052353,0.155355704
0.0001160784,0.147921445
0.0001280388,0.140842905
0.0001412315,0.134103062
0.0001557836,0.127685709
0.0001718351,0.121575412
0.0001895404,0.11575748
0.0002090701,0.110217921
0.000230612,0.104943413
0.0002543736,0.099921274
0.0002805835,0.095139427
0.0003094939,0.090586373
0.0003413832,0.086251163
0.0003765583,0.082123373
0.0004153577,0.078193077
0.0004581549,0.074450825
0.0005053618,0.070887618
0.0005574328,0.06749489
0.0006148689,0.064264482
0.0006782232,0.061188627
0.0007481052,0.058259932
0.0008251877,0.055471354
0.0009102125,0.052816192
0.001003998,0.050288061
0.0011074469,0.047880886
0.0012215549,0.045588882
0.0013474202,0.043406541
0.0014862542,0.04132862
0.0016393933,0.039350127
0.0018083114,0.03746631
0.0019946343,0.035672645
0.0022001553,0.033964827
0.0024268526,0.032338758
0.0026769081,0.030790536
0.0029527286,0.029316447
0.0032569687,0.027912958
0.0035925568,0.026576706
0.0039627229,0.025304488
0.0043710298,0.024093259
0.0048214074,0.022940118
0.0053181905,0.021842304
0.0058661607,0.020797188
0.006470592,0.019802266
0.007137302,0.018855152
0.0078727078,0.017953572
0.0086838876,0.017095355
0.0095786489,0.016278429
0.0105656037,0.015500814
0.0116542513,0.014760616
0.0128550698,0.01405602
0.014179617,0.013385291
0.0156406415,0.012746765
0.0172522055,0.012138849
0.0190298201,0.011560021
0.0209905947,0.01100883
0.0231534016,0.010483896
0.0252418805,0.010042316
0.0253,0.010030814
0.0279068348,0.009552329
0.03078227,0.00909652
0.0339539812,0.008662299
0.0374524958,0.008248648
0.0413114868,0.007854611
0.0455680964,0.007479287
0.050263294,0.007121818
0.0554422705,0.006781386
0.061154873,0.006457205
0.0674560846,0.006148525
0.0744065538,0.005854628
0.0820731781,0.005574827
0.0905297481,0.00530846
0.0998576572,0.005054882
0.1101466856,0.004813445
0.1214958641,0.004583501
0.1340144274,0.004364429
0.1478228652,0.004155671
0.1630540823,0.003956759
0.1798546777,0.003767306
0.1983863551,0.003586958
0.21882748,0.003415278
0.2413747961,0.003251846
0.2662453188,0.003096235
0.2936784244,0.002948016
0.3239381535,0.002806797
0.3573157528,0.002672316
0.3941324781,0.002544359
0.4347426864,0.002422613
0.4795372468,0.002306689
0.5289473021,0.002196314
0.5834484187,0.002091242
0.6435651642,0.001991039
0.7098761558,0.001895617
0.7830196296,0.001804921
0.863699584,0.001718474
0.9526925547,0.001636124
1.05085509,0.001557724
1.159131993,0.001483093
1.278565418,0.001412033
1.410304899,0.001344326
1.555618414,0.00127996
1.71590459,0.001218563
1.892706166,0.001160109
2.087724836,0.001104484
2.302837635,0.001051524
2.558033231,0.0009976596
2.821605173,0.0009497971
3.112334763,0.000904343
3.433020243,0.0008609463
3.786748178,0.0008196556
4.176923159,0.0007803676
4.607300581,0.0007429115
5.117620759,0.0007048954
5.644924793,0.000671068
6.226560626,0.0006389566
6.916574897,0.0006061585
7.629237677,0.0005771106
8.356384281,0.000551483
9.153284729,0.0005267853
10.02568905,0.0005033443
10.98178156,0.0004809583
12.11331084,0.0004581703
13.17554619,0.0004391514
14.84138646,0.0004139436
16.60155732,0.0003914037
18.18475267,0.0003741172
19.77940235,0.0003587724
21.66458742,0.0003428502
23.40047632,0.0003300194
25.81159002,0.000314114
28.47113752,0.000299301
30.53699451,0.0002890424
33.44749128,0.0002760906
36.38055463,0.0002648302
39.57082292,0.0002539666
43.04085089,0.0002435324
46.4895265,0.0002343989
51.27966551,0.000223119
55.77646037,0.0002141092
60.2426287,0.0002059862
66.91858931,0.0001954284
72.7867861,0.0001874603
78.61501611,0.0001804078
86.11207936,0.0001723602
94.31946636,0.0001647347
102.5904893,0.0001579804
110.8106181,0.0001520158
123.0843761,0.0001442269
135.7666148,0.0001373697
149.7555927,0.0001308013
166.3511909,0.0001240972
180.9387895,0.0001190336
195.4270354,0.000114532
212.5643408,0.0001098204
231.2044436,0.0001053326
256.826031,9.991814e-05
275.4612489,9.653948e-05
299.6168809,9.254419e-05
332.8034587,8.780263e-05
359.4695481,8.450577e-05
390.9920005,8.103309e-05
425.2787065,7.769951e-05
462.572068,7.452445e-05
513.8081131,7.069493e-05
551.089872,6.830454e-05
599.4158133,6.547799e-05
665.8418052,6.212146e-05
719.1575152,5.979033e-05
782.2215737,5.733854e-05
856.8175594,5.477729e-05
938.4812859,5.235216e-05
1013.677701,5.037573e-05
1110.291844,4.817788e-05
1233.332041,4.573854e-05
1350.881553,4.373501e-05
1490.072268,4.166917e-05
1666.793075,3.94311e-05
1800.345935,3.796919e-05
1956.844271,3.644077e-05
