energy,cross_section
1e-05,16.889315
1.103037e-05,16.0927013
1.216691e-05,15.3347815
1.342055e-05,14.613732
1.486478e-05,13.8996068
1.63964e-05,13.248556
1.808583e-05,12.6293551
1.994934e-05,12.0405135
2.200486e-05,11.4806132
2.427217e-05,10.9483058
2.677311e-05,10.4423089
2.953172e-05,9.96140275
3.257458e-05,9.50442773
3.593097e-05,9.07028123
3.991281e-05,8.62916172
4.433364e-05,8.21203271
4.924664e-05,7.81732618
5.470131e-05,7.44432965
6.076325e-05,7.09164103
6.749354e-05,6.75861719
7.497308e-05,6.4440043
8.327729e-05,6.14722169
9.250595e-05,5.86714788
0.0001027522,5.60325788
0.0001141394,5.35453903
0.0001267814,5.12054246
0.0001408315,4.90033539
0.0001564299,4.69351267
0.0001737657,4.499243
0.000194374,4.30537631
0.0002174265,4.12457858
0.0002432129,3.95620926
0.0002720576,3.79965653
0.0003043233,3.65433436
0.0003427996,3.51163525
0.0003861607,3.38026832
0.000434984,3.25971939
0.0004900055,3.14927386
0.0005558525,3.04276436
0.000630548,2.94628258
0.0007202909,2.85459076
0.0008286113,2.76845767
0.0009532215,2.69212231
0.0011043068,2.62155558
0.0012882999,2.5571424
0.0015241527,2.49671862
0.001815814,2.44333007
0.0021939165,2.39503663
0.0027069765,2.35097411
0.0034108656,2.31205091
0.0044201271,2.27786112
0.0059736034,2.24781018
0.0084789826,2.22254416
0.0129084048,2.2018706
0.0219824333,2.18553039
0.0252941235,2.18248565
0.0253,2.18248096
0.0558333664,2.17141598
0.2113011102,2.16455825
67.38733312,2.10734777
652.8700204,1.63756138
1092.646093,1.29602676
1422.300293,1.04891033
1657.593707,0.878916279
1836.212504,0.75398567
1997.232879,0.645273347
2130.716483,0.558096947
2256.501007,0.479366371
2367.459919,0.412794049
2446.3744,0.367279231
2533.512222,0.318943411
2584.846051,0.291505561
2644.40323,0.260731051
2685.020005,0.24029879
2758.94501,0.204845202
2821.04201,0.176603131
2874.26801,0.153677441
2922.88109,0.133807011
2962.978005,0.118204289
2996.155545,0.105887721
3032.763205,0.09293219
3068.247205,0.081035371
3093.381705,0.073038536
3095.45161,0.072639256
3095.599466,0.072636625
3097.284945,0.072950216
3098.515062,0.073197446
3099.544103,0.07291221
3101.090955,0.071679986
3102.315279,0.070712956
3104.322152,0.069745112
3120.219737,0.064863887
3146.663241,0.057216286
3166.810678,0.051680277
3186.95811,0.046375276
3207.10555,0.04132186
3222.216116,0.037684799
3242.363553,0.033083194
3257.474131,0.029810836
3272.584707,0.026686725
3287.695289,0.023726645
3302.805856,0.020917848
3312.87958,0.019137739
3325.471731,0.017017367
3335.545448,0.015402433
3345.619161,0.013862337
3355.692884,0.012397978
3363.248163,0.01134767
3374.581106,0.009855122
3384.025219,0.008688313
3391.580503,0.007805555
3399.135794,0.006967561
3406.69108,0.006175212
3414.246365,0.005428448
3419.912822,0.004898845
3425.579288,0.004395427
3431.245755,0.003918339
3436.91223,0.003467744
3442.578696,0.00304384
3448.245166,0.002646428
3452.022807,0.002396009
3455.800451,0.002158485
3459.578098,0.001933142
3463.355743,0.001720006
3467.133385,0.001519132
3470.596227,0.001345817
3473.744267,0.001197276
3476.892305,0.001057358
3479.253335,0.0009580983
3481.61435,0.0008637208
3484.368898,0.0007597706
3486.572523,0.0006813145
3488.77615,0.0006071421
3490.901072,0.0005397949
3492.789898,0.0004833268
3494.678719,0.0004300379
3496.56754,0.0003799327
3497.984143,0.0003444478
3499.558165,0.0003071286
3501.132177,0.0002720331
3502.312697,0.000247171
3503.493202,0.0002235589
3504.831117,0.0001983076
3505.932937,0.0001787211
3507.034754,0.0001602354
3508.136568,0.0001428568
3509.159683,0.0001277114
3510.104097,0.0001145777
3511.048509,0.0001022559
3511.756819,9.354746e-05
3512.465115,8.529614e-05
