energy,cross_section
1e-05,54.1469504
1.103037e-05,51.5670479
1.216691e-05,49.1111511
1.342055e-05,46.7733538
1.480336e-05,44.548034
1.632865e-05,42.4298398
1.801111e-05,40.4136771
1.986691e-05,38.494697
2.191394e-05,36.6682842
2.417189e-05,34.9300462
2.666248e-05,33.275802
2.940971e-05,31.7015728
3.243999e-05,30.203572
3.578251e-05,28.7781962
3.946943e-05,27.4220164
4.353624e-05,26.1317698
4.802208e-05,24.904352
5.297013e-05,23.7368094
5.842801e-05,22.6263322
6.444825e-05,21.5702472
7.108881e-05,20.5660119
7.841358e-05,19.6112078
8.649308e-05,18.7035349
9.540506e-05,17.8408059
0.0001052353,17.0209408
0.0001160784,16.2419619
0.0001289425,15.4503703
0.000143224,14.7017786
0.0001590963,13.9933022
0.0001767178,13.3237245
0.0001963018,12.690478
0.0002180443,12.0924537
0.000242208,11.5273642
0.0002690352,10.9942008
0.0002988497,10.4909241
0.0003319507,10.0166164
0.0003687373,9.56945758
0.0004095793,9.14861219
0.0004549685,8.75245329
0.0005053618,8.38021746
0.0005613655,8.03044741
0.0006235436,7.70244136
0.0006974952,7.37517164
0.0007802173,7.07020134
0.0008727501,6.78643514
0.0009762572,6.52282527
0.0010920402,6.27836633
0.0012301723,6.03848208
0.0013857077,5.81810038
0.0015609857,5.61595099
0.0017707513,5.42075361
0.0020087052,5.24369097
0.002294596,5.07517543
0.0026213062,4.92409895
0.0030155095,4.78252425
0.0034932934,4.65146779
0.0040753255,4.5316009
0.0047878704,4.42331578
0.0057040768,4.32301275
0.0068918216,4.2321801
0.0084439491,4.15174516
0.0105656037,4.07992241
0.0135960144,4.01617791
0.0181196715,3.96068677
0.0252418805,3.91362762
0.0253,3.91335259
0.0374524958,3.8745942
0.061154873,3.84332033
0.1166614146,3.8198084
0.3067210287,3.80375632
2.120196824,3.7953251
102814.4042,3.58114774
171609.5509,3.46093413
208584.9064,3.41133562
245054.6344,3.37935443
260000.0,3.37455646
281975.1485,3.3860412
