energy,cross_section
1e-05,0.008541949
1.103037e-05,0.008133209
1.216691e-05,0.007744028
1.342055e-05,0.007373469
1.480336e-05,0.007020642
1.632865e-05,0.006684698
1.801111e-05,0.00636483
1.986691e-05,0.006060267
2.191394e-05,0.005770278
2.417189e-05,0.005494165
2.666248e-05,0.005231265
2.940971e-05,0.004980944
3.243999e-05,0.004742602
3.578251e-05,0.004515664
3.946943e-05,0.004299585
4.353624e-05,0.004093847
4.802208e-05,0.003897953
5.297013e-05,0.003711432
5.842801e-05,0.003533837
6.444825e-05,0.00336474
7.108881e-05,0.003203734
7.841358e-05,0.003050433
8.649308e-05,0.002904467
9.540506e-05,0.002765486
0.0001052353,0.002633155
0.0001160784,0.002507156
0.0001280388,0.002387187
0.0001412315,0.002272958
0.0001557836,0.002164195
0.0001718351,0.002060636
0.0001895404,0.001962033
0.0002090701,0.001868148
0.000230612,0.001778756
0.0002543736,0.001693641
0.0002805835,0.001612599
0.0003094939,0.001535435
0.0003413832,0.001461963
0.0003765583,0.001392007
0.0004153577,0.001325399
0.0004581549,0.001261977
0.0005053618,0.001201591
0.0005574328,0.001144094
0.0006148689,0.001089348
0.0006782232,0.001037222
0.0007481052,0.0009875905
0.0008251877,0.0009403337
0.0009102125,0.0008953382
0.001003998,0.0008524958
0.0011074469,0.0008117035
0.0012215549,0.0007728631
0.0013474202,0.0007358812
0.0014862542,0.000700669
0.0016393933,0.0006671418
0.0018083114,0.0006352188
0.0019946343,0.0006048234
0.0022001553,0.0005758825
0.0024268526,0.0005483265
0.0026769081,0.000522089
0.0029527286,0.000497107
0.0032569687,0.0004733205
0.0035925568,0.0004506722
0.0039627229,0.0004291077
0.0043710298,0.0004085751
0.0048214074,0.000389025
0.0053181905,0.0003704104
0.0058661607,0.0003526866
0.006470592,0.000335811
0.007137302,0.0003197429
0.0078727078,0.0003044437
0.0086838876,0.0002898767
0.0095786489,0.0002760068
0.0105656037,0.0002628007
0.0116542513,0.0002502266
0.0128550698,0.0002382543
0.014179617,0.000226855
0.0156406415,0.0002160013
0.0172522055,0.0002056672
0.0190298201,0.0001958278
0.0209905947,0.0001864594
0.0231534016,0.0001775396
0.0252418805,0.0001700388
0.0253,0.0001698435
0.0279068348,0.0001617194
0.03078227,0.0001539844
0.0339539812,0.0001466199
0.0374524958,0.0001396083
0.0413114868,0.000132933
0.0455680964,0.0001265782
0.050263294,0.000120529
0.0554422705,0.0001147708
0.061154873,0.0001092891
0.0674560846,0.0001040698
0.0744065538,9.909917e-05
0.0820731781,9.436508e-05
0.0905297481,8.985686e-05
0.0998576572,8.55648e-05
0.1101466856,8.147989e-05
0.1214958641,7.759225e-05
0.1340144274,7.389195e-05
0.1478228652,7.036835e-05
0.1630540823,6.701262e-05
0.1798546777,6.381737e-05
0.1983863551,6.077404e-05
0.21882748,5.78744e-05
0.2413747961,5.511381e-05
0.2662453188,5.248745e-05
0.2936784244,4.998502e-05
0.3239381535,4.759996e-05
0.3573157528,4.533102e-05
0.3941324781,4.317031e-05
0.4347426864,4.110989e-05
0.4795372468,3.914724e-05
0.5289473021,3.728334e-05
0.5875641227,3.538262e-05
0.6481049377,3.369208e-05
0.7148836937,3.208709e-05
0.7885431289,3.05559e-05
0.8697922077,2.909902e-05
0.9594129437,2.771632e-05
1.058267932,2.641691e-05
1.167308631,2.519243e-05
1.287584551,2.402885e-05
1.430201762,2.284708e-05
1.57756539,2.178687e-05
1.740112916,2.078243e-05
1.93294855,1.975639e-05
2.147048459,1.878005e-05
2.384979828,1.784977e-05
2.630720874,1.702603e-05
2.942721254,1.613252e-05
3.245930276,1.538406e-05
3.605460478,1.462691e-05
4.00500998,1.390388e-05
4.448618416,1.321645e-05
4.906990489,1.260483e-05
5.374942034,1.206505e-05
6.012403793,1.142981e-05
6.631903541,1.090032e-05
7.418439447,1.032842e-05
8.240130867,9.81665e-06
9.21740063,9.301258e-06
10.09641131,8.906757e-06
11.2147239,8.506019e-06
12.45751591,8.122836e-06
13.74110034,7.785268e-06
15.15694141,7.456705e-06
16.83577541,7.120765e-06
18.83247843,6.782023e-06
20.19895728,6.581317e-06
22.5945297,6.314942e-06
25.27421416,6.058736e-06
28.87281403,5.769311e-06
32.52332661,5.520596e-06
37.1540715,5.257676e-06
41.26938198,5.058911e-06
45.84276757,4.866252e-06
50.21206552,4.706945e-06
56.56336582,4.570388e-06
65.52539996,4.404224e-06
75.37939102,4.251871e-06
89.80840007,4.069969e-06
100.4595704,3.958858e-06
126.581873,3.837283e-06
150.8119841,3.748236e-06
297.5181576,3.741514e-06
354.9218916,3.829053e-06
408.29657,3.907642e-06
507.3328103,4.038159e-06
617.2670169,4.22662e-06
740.5747466,4.424315e-06
933.144931,4.737269e-06
1217.729129,5.185712e-06
1420.620029,5.49586e-06
1740.64761,5.926992e-06
2132.664162,6.418129e-06
2463.252246,6.838823e-06
2873.664916,7.316665e-06
3480.280764,7.957306e-06
4146.267387,8.58887e-06
4796.632772,9.15388e-06
5142.077207,9.428614e-06
10070.54105,1.301178e-05
15105.81155,1.588593e-05
35246.89355,2.450864e-05
55775.951,3.132312e-05
76594.6366,3.738135e-05
99077.83054,4.341208e-05
132294.1939,5.188308e-05
162018.8459,5.94749e-05
201410.8205,6.977635e-05
250000.0,8.44609e-05
280000.0,9.591113e-05
300000.0,0.0001054416
320000.0,0.0001175427
340000.0,0.0001339351
360000.0,0.0001580968
370000.0,0.0001751974
380000.0,0.0001977011
390000.0,0.0002281761
400000.0,0.0002701148
405000.0,0.0002962595
415000.0,0.0003551554
420000.0,0.0003795316
425000.0,0.0003873013
429965.427,0.0003651205
435000.0,0.0003076887
440000.0,0.0002298976
445000.0,0.0001546407
450000.0,9.624688e-05
455000.0,5.667512e-05
459687.5009,3.347288e-05
460000.0,3.196999e-05
461622.4438,2.82591e-05
469972.5773,9.380254e-06
470025.9028,9.304488e-06
471243.2864,8.618909e-06
479973.6795,3.77733e-06
480026.4539,3.765005e-06
480052.9067,3.764595e-06
490000.0,4.63279e-06
500000.0,7.770313e-06
550000.0,2.495284e-05
600000.0,3.477168e-05
650000.0,3.909863e-05
700000.0,3.964896e-05
750000.0,3.742931e-05
817009.457,3.213605e-05
850000.0,2.958963e-05
900000.0,3.062176e-05
920000.0,3.511213e-05
940000.0,4.386563e-05
960000.0,5.777354e-05
980000.0,7.487873e-05
1000000.0,8.187999e-05
1020000.0,7.11353e-05
1040000.0,5.625476e-05
1060000.0,4.551467e-05
1080000.0,3.880298e-05
1100000.0,3.464247e-05
1150000.0,2.94613e-05
1220000.0,2.597977e-05
1230000.0,2.538963e-05
1240000.0,2.464945e-05
1250000.0,2.368902e-05
1260000.0,2.233831e-05
1270000.0,2.031713e-05
1280000.0,1.716534e-05
1290000.0,1.218577e-05
1299687.51,5.762528e-06
1300000.0,5.563569e-06
1301250.009,5.133396e-06
1309882.827,2.221142e-06
1309960.947,2.203746e-06
1309980.479,2.202901e-06
1310039.072,2.212662e-06
1310117.202,2.247887e-06
1320000.005,7.842467e-06
1330000.0,1.594275e-05
1340000.0,2.126377e-05
1350000.0,2.41966e-05
1360000.0,2.582824e-05
1370000.0,2.678905e-05
1380000.0,2.738942e-05
1390000.0,2.776971e-05
1400000.0,2.803973e-05
1420000.0,2.837984e-05
1450157.909,2.866907e-05
1540000.0,2.928012e-05
1565000.005,2.958e-05
1580000.0,2.988028e-05
1590000.0,3.020057e-05
1600000.0,3.072117e-05
1610000.0,3.165289e-05
1620000.0,3.35998e-05
1627500.008,3.761001e-05
1630000.0,3.90105e-05
1631875.013,4.390005e-05
1639921.885,6.517628e-05
1640000.0,6.553185e-05
1640125.009,6.6476e-05
1641937.51,8.274649e-05
1642000.0,8.348345e-05
1642125.009,8.542314e-05
1643906.265,0.0001164457
1644000.0,0.0001186485
1644093.765,0.00012181
1645875.009,0.0001927833
1645937.51,0.0001957579
1646000.0,0.0001998129
1646062.51,0.000205373
1646187.514,0.0002190543
1647875.009,0.000411638
1647953.14,0.0004223696
1648000.0,0.0004308976
1648046.89,0.0004415497
1648125.009,0.0004627828
1649875.009,0.000978523
1649953.14,0.0009972472
1650000.0,0.001003515
1650031.26,0.001004883
1650093.765,0.001001874
1650375.014,0.0009654126
1651937.515,0.000754175
1652000.005,0.0007439296
1652125.014,0.0007186809
1653875.01,0.000332061
1653953.14,0.0003162888
1654000.0,0.0003085439
1654046.89,0.0003025296
1654125.009,0.0002953679
1655906.265,0.0001662527
1655968.76,0.0001622866
1656031.26,0.0001591506
1656125.009,0.000155879
1657906.265,0.0001061846
1658000.0,0.0001039485
1658093.765,0.0001023402
1659937.51,7.818649e-05
1660039.072,7.729267e-05
1660234.39,7.650982e-05
1669921.885,4.428024e-05
1670046.885,4.406643e-05
1670093.76,4.405844e-05
1679937.52,4.884085e-05
1680078.149,4.920272e-05
1681906.26,5.720283e-05
1682000.0,5.778279e-05
1682125.009,5.897069e-05
1683875.009,7.820561e-05
1683937.51,7.908097e-05
1684000.0,8.036725e-05
1684062.51,8.222215e-05
1684187.514,8.690916e-05
1685875.009,0.0001533326
1685937.51,0.0001565073
1685984.385,0.00015986
1686031.26,0.0001644292
1686062.509,0.0001681313
1686125.009,0.0001765801
1686843.766,0.0002821163
1686890.641,0.0002899753
1686921.892,0.0002963487
1686953.14,0.0003044118
1686976.577,0.0003120054
1687000.0,0.0003211712
1687023.452,0.0003320095
1687046.89,0.0003444196
1687078.142,0.0003630283
1687125.009,0.0003938781
1687312.514,0.0005256468
1687781.265,0.0008573
1687828.145,0.0008931122
1687859.392,0.0009221931
1687875.009,0.0009404008
1687890.641,0.0009626963
1687906.264,0.0009906791
1687917.992,0.001016591
1687929.706,0.001047665
1687941.424,0.001084881
1687953.14,0.001129132
1687964.862,0.001181316
1687976.577,0.001242102
1687988.296,0.001312111
1688000.0,0.001391573
1688012.51,0.001487186
1688025.01,0.001593583
1688037.515,0.001710423
1688050.009,0.001836835
1688062.517,0.001972118
1688081.27,0.002189003
1688100.009,0.002419162
1688131.273,0.002823505
1688187.516,0.003581515
1688600.008,0.00923805
1688637.519,0.009784192
1688662.52,0.010190149
1688681.272,0.010541982
1688700.009,0.010962637
1688712.516,0.011299962
1688725.014,0.011698636
1688737.517,0.012176549
1688746.894,0.012599315
1688756.267,0.013088281
1688765.646,0.01365562
1688775.01,0.014313213
1688784.392,0.015078642
1688793.76,0.015966536
