energy,cross_section
1e-05,5720.4591
1.103037e-05,5446.71584
1.216691e-05,5186.07075
1.342055e-05,4937.89697
1.480336e-05,4701.59775
1.632865e-05,4476.60481
1.801111e-05,4262.3771
1.986691e-05,4058.39947
2.191394e-05,3864.18137
2.417189e-05,3679.25574
2.666248e-05,3503.17791
2.940971e-05,3335.52443
3.243999e-05,3175.89212
3.578251e-05,3023.89711
3.946943e-05,2879.17387
4.353624e-05,2741.37438
4.802208e-05,2610.16727
5.297013e-05,2485.237
5.842801e-05,2366.28312
6.444825e-05,2253.01959
7.108881e-05,2145.17402
7.841358e-05,2042.48706
8.649308e-05,1944.71176
9.540506e-05,1851.61296
0.0001052353,1762.96681
0.0001160784,1678.5601
0.0001280388,1598.18982
0.0001412315,1521.66269
0.0001557836,1448.79469
0.0001718351,1379.41051
0.0001895404,1313.34327
0.0002090701,1250.43411
0.000230612,1190.53166
0.0002543736,1133.49186
0.0002805835,1079.17748
0.0003094939,1027.4578
0.0003413832,978.208444
0.0003765583,931.310865
0.0004153577,886.652198
0.0004581549,844.12494
0.0005053618,803.626702
0.0005574328,765.059957
0.0006148689,728.331776
0.0006782232,693.353649
0.0007481052,660.041263
0.0008251877,628.314254
0.0009102125,598.096002
0.001003998,569.313544
0.0011074469,541.897252
0.0012215549,515.780737
0.0013474202,490.900731
0.0014862542,467.196764
0.0016393933,444.611242
0.0018083114,423.089138
0.0019946343,402.577909
0.0022001553,383.027562
0.0024268526,364.390379
0.0026769081,346.621077
0.0029527286,329.676592
0.0032569687,313.515741
0.0035925568,298.098612
0.0039627229,283.385427
0.0043710298,269.335948
0.0048214074,255.910128
0.0053181905,243.070484
0.0058661607,230.784367
0.006470592,219.024195
0.007137302,207.766261
0.0078727078,196.984973
0.0086838876,186.658501
0.0095786489,176.766406
0.0105656037,167.29077
0.0116542513,158.213786
0.0128550698,149.517169
0.0140809846,141.768746
0.01542305,134.337522
0.0168938583,127.214984
0.0185040202,120.40808
0.020268643,113.908464
0.0222004573,107.722761
0.0241472505,102.286911
0.0252418805,99.5255532
0.0253,99.3842684
0.027518597,94.3506342
0.0299317462,89.5651586
0.0325565083,85.0235204
0.0354114399,80.7239611
0.038516725,76.6625992
0.0418943175,72.8192556
0.0455680964,69.1772955
0.0495640347,65.7353545
0.0539103832,62.4878301
0.0586378699,59.426915
0.0637799173,56.5459052
0.069372879,53.8397746
0.0754562963,51.3055295
0.0820731781,48.9426197
0.0892703047,46.7534685
0.0970985588,44.7442104
0.1048786431,43.0691316
0.1132765523,41.5683695
0.1223529086,40.2590564
0.131230798,39.2588053
0.1407528644,38.4683702
0.1499083797,37.9684527
0.1596672668,37.7075404
0.1640567715,37.680862
0.1733588851,37.8109496
0.183351,38.2361358
0.1925607006,38.8925684
0.2022429277,39.8537554
0.2124015678,41.1440887
0.2246440373,43.012593
0.2460670513,46.5187201
0.2548317551,47.6837376
0.2620729119,48.3489881
0.269034709,48.641936
0.2707842925,48.6537998
0.2755339489,48.5507022
0.2813923028,48.1411527
0.2873611147,47.4020924
0.2934709357,46.3278502
0.2996959561,44.9424373
0.3060680382,43.2785205
0.3147650966,40.7313625
0.3376043553,33.6589113
0.347197532,30.901998
0.3545621855,28.9505213
0.3621008236,27.11535
0.3697816014,25.4154831
0.377643832,23.8460888
0.3856543036,22.4122492
0.3938540167,21.1014002
0.4022083341,19.9116159
0.4107600161,18.8281272
0.4194729386,17.846431
0.4283916975,16.9524808
0.4374786182,16.1414711
0.4467802106,15.4012433
0.4562571832,14.7276325
0.4659580421,14.110597
0.4791984455,13.3687057
0.4928150807,12.7065318
0.5068186387,12.1133523
0.521220114,11.5801634
0.5360308135,11.0994464
0.5551237862,10.5632865
0.5749250447,10.0889001
0.5954033976,9.67008388
0.6166414293,9.3000076
0.6386056852,8.97530747
0.661384742,8.6929625
0.6849427176,8.45282715
0.7093746157,8.25438954
0.7346419508,8.10079033
0.7608466199,7.99760972
0.7824664124,7.95732801
0.7925913937,7.95325122
0.8151132279,7.98133703
0.8324440197,8.04172502
0.8501015818,8.14313527
0.8681762897,8.29551868
0.8865917944,8.51107094
0.8991000087,8.69881528
0.9117846915,8.92961213
0.9246483323,9.21229709
0.9376934559,9.55814725
0.9476153317,9.86815051
0.9576305264,10.2291561
0.9677396998,10.6503228
0.9779435086,11.1428286
0.9882912764,11.7232791
0.9987363686,12.4065078
1.005732205,12.9273977
1.012826746,13.5146196
1.019921276,14.1681845
1.027115908,14.9065474
1.034310529,15.7295016
1.041606664,16.6595809
1.048902789,17.695049
1.056301859,18.8615361
1.06370092,20.1523194
1.071204377,21.5920477
1.078707825,23.1614489
1.086317143,24.8744039
1.100534179,28.3081214
1.114951793,31.8040182
1.122761677,33.5150165
1.130325752,34.9217746
1.136060255,35.7636583
1.141281628,36.3263812
1.146830661,36.6857956
1.152379678,36.7825248
1.1582458,36.5926413
1.164111906,36.1098384
1.170082485,35.3397214
1.176261992,34.2837827
1.182441508,33.0129808
1.188679139,31.5675871
1.201212518,28.392894
1.213922735,25.1334624
1.222455981,23.0684429
1.228900749,21.6138223
1.235345502,20.264136
1.241881201,19.0093299
1.248416885,17.8713045
1.252774003,17.1767797
1.259402385,16.2151953
1.266030758,15.3612109
1.272922013,14.5751827
1.279813257,13.8759122
1.288082764,13.1216543
1.301176136,12.0298206
