energy,cross_section
1e-05,54.3473182
1.110823e-05,51.731496
1.233856e-05,49.2595309
1.370594e-05,46.9218192
1.5224e-05,44.7143696
1.691114e-05,42.6286478
1.878422e-05,40.6610026
2.08659e-05,38.80384
2.317702e-05,37.0538249
2.57455e-05,35.4041906
2.859711e-05,33.8518888
3.176623e-05,32.3908793
3.528471e-05,31.0183679
3.919493e-05,29.7289492
4.353624e-05,28.5200472
4.869959e-05,27.3141659
5.44753e-05,26.19078
6.0936e-05,25.1458377
6.816294e-05,24.1754614
7.624699e-05,23.2759278
8.589148e-05,22.3936072
9.675105e-05,21.5834128
0.0001089895,20.8406069
0.0001236355,20.1237886
0.0001402496,19.473975
0.0001602102,18.855962
0.0001830218,18.3022817
0.0002105454,17.7838272
0.0002439041,17.3042709
0.000284542,16.8659899
0.0003342928,16.4703342
0.0003982625,16.1040651
0.0004811921,15.7724979
0.0005895623,15.4788959
0.0007376976,15.2166001
0.0009492829,14.983507
0.0012651282,14.7800497
0.0017707513,14.6044529
0.0026396672,14.4579199
0.0043406256,14.3366765
0.0084439491,14.2336211
0.0222004573,14.1241943
0.0252418805,14.1090452
0.0253,14.1087675
0.1173171259,13.7888789
0.2203711114,13.5034334
0.2517055004,13.4711688
0.331686461,13.5595746
0.3951773821,13.4918046
0.6318373385,13.1141756
1.038982889,12.5942345
1.061021489,12.5853361
1.099416882,12.6298858
1.135722024,12.7826009
1.171152809,12.9553296
1.19846301,13.0049661
1.232517865,12.9652255
1.317715129,12.7726374
1.515862381,12.5139995
1.883549311,12.1451367
1.957057346,12.0122498
1.992684014,11.931437
1.997773532,11.9294995
2.013042102,11.9647493
2.031873339,12.1052201
2.055794098,12.3106593
2.071571628,12.3638621
2.074116388,12.3654234
2.104653528,12.3084582
2.162674089,12.1829171
2.303462028,12.0286096
2.688404473,11.7168187
2.802045746,11.6018306
2.939527841,11.5076265
3.068565771,11.3755404
3.07411333,11.3745013
3.104228656,11.3988441
3.13909904,11.5080401
3.178724481,11.6669285
3.208839817,11.718656
3.215179889,11.7195383
3.262730401,11.6593511
3.444111031,11.2742476
3.530570151,11.0349699
3.540176714,11.0222864
3.55938985,11.0448295
3.572839051,11.1201732
3.587729232,11.2766988
3.605693514,11.5546099
3.62759649,11.9240482
3.641045686,12.0988792
3.652573567,12.1936263
3.669373506,12.2404124
3.688870713,12.1979399
3.757946568,11.8910748
3.813652894,11.7261982
3.902783023,11.5621713
4.081339759,11.3596036
4.470334368,11.0002931
4.597360892,10.8296527
4.656537521,10.7083393
4.701500885,10.5701146
4.731851167,10.4308095
4.781535688,10.1315379
4.791652453,10.1089713
4.799521036,10.1234216
