energy,cross_section
1.000000e-5,2.429850e+0
2.000000e-1,2.429850e+0
3.000000e-1,2.433850e+0
1.500000e+0,2.433850e+0
2.040000e+0,2.405850e+0
2.500000e+0,2.446650e+0
3.610000e+0,2.449650e+0
4.850000e+0,2.398500e+0
6.390000e+0,2.420920e+0
7.080000e+0,2.423830e+0
8.790000e+0,2.417800e+0
9.300000e+0,2.417800e+0
1.016000e+1,2.398710e+0
1.239000e+1,2.410770e+0
1.545000e+1,2.410970e+0
1.610000e+1,2.407750e+0
1.667000e+1,2.417800e+0
1.805000e+1,2.410770e+0
1.930000e+1,2.408760e+0
2.110000e+1,2.417800e+0
2.295000e+1,2.423830e+0
2.365000e+1,2.420820e+0
2.555000e+1,2.425840e+0
2.648000e+1,2.424830e+0
3.086000e+1,2.383850e+0
3.207000e+1,2.400750e+0
3.352000e+1,2.409650e+0
3.439000e+1,2.433450e+0
3.520000e+1,2.420550e+0
3.830000e+1,2.415550e+0
3.941000e+1,2.392750e+0
4.460000e+1,2.358150e+0
5.126000e+1,2.418550e+0
5.222000e+1,2.443350e+0
5.345000e+1,2.456150e+0
5.506000e+1,2.418550e+0
5.868000e+1,2.359050e+0
7.240000e+1,2.432450e+0
7.457000e+1,2.360050e+0
1.000000e+2,2.433800e+0
1.000000e+3,2.431810e+0
2.250000e+3,2.427590e+0
7.000000e+3,2.417970e+0
2.000000e+4,2.417390e+0
5.000000e+4,2.418100e+0
6.000000e+4,2.419220e+0
7.000000e+4,2.422000e+0
8.000000e+4,2.430880e+0
1.700000e+5,2.461380e+0
2.000000e+5,2.468670e+0
3.000000e+5,2.474470e+0
4.000000e+5,2.478470e+0
6.000000e+5,2.488800e+0
7.000000e+5,2.498080e+0
8.500000e+5,2.514080e+0
9.000000e+5,2.518670e+0
1.000000e+6,2.529690e+0
1.200000e+6,2.549830e+0
1.600000e+6,2.599670e+0
1.800000e+6,2.623370e+0
2.400000e+6,2.690480e+0
2.600000e+6,2.720510e+0
3.500000e+6,2.827820e+0
4.000000e+6,2.892750e+0
4.500000e+6,2.967100e+0
5.000000e+6,3.045350e+0
5.500000e+6,3.132000e+0
6.000000e+6,3.222550e+0
6.500000e+6,3.317200e+0
7.000000e+6,3.405400e+0
7.500000e+6,3.476410e+0
8.000000e+6,3.544630e+0
9.000000e+6,3.689830e+0
9.500000e+6,3.761160e+0
1.050000e+7,3.899280e+0
1.200000e+7,4.101020e+0
1.250000e+7,4.169660e+0
1.300000e+7,4.241150e+0
1.450000e+7,4.462290e+0
1.600000e+7,4.690100e+0
1.650000e+7,4.763750e+0
1.700000e+7,4.833440e+0
1.800000e+7,4.964850e+0
1.900000e+7,5.090170e+0
3.000000e+7,6.249000e+0
